alert_id,machine_id,equipment_category,alert_level,alert_priority,health_score,problem,probable_cause,recommended_action,observed_pattern,alert_status,source_model,generated_at
ALT-0018,PMP-011,Pump,Medium Risk,Inspect,58.85,Critical pump condition,"Severe abnormal pattern may indicate cavitation damage, bearing failure, or major flow blockage","Stop pump if necessary and urgently inspect suction line, impeller, seals, and bearings","anomaly detected, very low torque, very high rotational speed, low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0019,VPM-004,Vacuum Pump,Medium Risk,Inspect,59.03,Critical vacuum pump condition,"Severe abnormal pattern may indicate major vacuum loss, overheating, or internal pump failure",Stop or isolate vacuum pump if required and perform urgent inspection,"anomaly detected, very low vacuum pump load response, very high pump operating temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0020,MOT-010,Motor,Medium Risk,Inspect,59.18,Critical motor operating condition,"Severe abnormal pattern may indicate overheating, overload, or potential motor failure",Stop or isolate the motor if safety risk exists and perform urgent inspection,"anomaly detected, very low torque, very high rotational speed, very low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0021,FAN-001,Fan,Medium Risk,Inspect,59.21,Severe fan airflow imbalance or bearing stress,"Low health score may indicate high mechanical stress, bearing wear, or unstable rotation",Reduce fan operation load if possible and schedule maintenance soon,"anomaly detected, very high rotational airflow speed, very low airflow load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0022,FAN-004,Fan,Medium Risk,Inspect,59.26,Critical fan operating condition,"Severe abnormal pattern may indicate bearing failure, blade damage, or unsafe vibration condition","Stop fan if vibration is high and urgently inspect bearing, shaft alignment, and blade condition","anomaly detected, very high rotational airflow speed, very low airflow load demand, very low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0023,AGT-004,Agitator,Medium Risk,Inspect,59.3,Critical agitator condition,"Severe abnormal pattern may indicate shaft damage, blade jam, or unsafe drive stress","Stop agitator if unsafe and urgently inspect shaft, blades, coupling, and motor","anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0024,AGT-002,Agitator,Medium Risk,Inspect,59.43,Critical agitator condition,"Severe abnormal pattern may indicate shaft damage, blade jam, or unsafe drive stress","Stop agitator if unsafe and urgently inspect shaft, blades, coupling, and motor","anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0025,PMP-007,Pump,Medium Risk,Inspect,59.44,Critical pump condition,"Severe abnormal pattern may indicate cavitation damage, bearing failure, or major flow blockage","Stop pump if necessary and urgently inspect suction line, impeller, seals, and bearings","anomaly detected, very low torque, very high rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0026,GRB-002,Gearbox,Medium Risk,Inspect,59.54,Critical gearbox condition,"Severe abnormal pattern may indicate gear damage, lubrication failure, or unsafe torque transmission",Stop gearbox operation if necessary and perform urgent inspection,"anomaly detected, very low mechanical load, very high shaft speed, low operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0027,MOT-002,Motor,Medium Risk,Inspect,59.61,Critical motor operating condition,"Severe abnormal pattern may indicate overheating, overload, or potential motor failure",Stop or isolate the motor if safety risk exists and perform urgent inspection,"anomaly detected, very low torque, very high rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0028,CNV-003,Conveyor,Medium Risk,Inspect,59.71,High conveyor drive stress,"Low health score may indicate belt misalignment, roller jam, or overload",Reduce conveyor load and schedule maintenance soon,"anomaly detected, very high conveyor drive load, very low conveyor speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0029,FAN-008,Fan,Medium Risk,Inspect,59.84,Critical fan operating condition,"Severe abnormal pattern may indicate bearing failure, blade damage, or unsafe vibration condition","Stop fan if vibration is high and urgently inspect bearing, shaft alignment, and blade condition","anomaly detected, very high rotational airflow speed, very low airflow load demand, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0030,CMP-016,Compressor,Medium Risk,Inspect,59.91,Critical compressor condition,"Severe abnormal pattern may indicate major pressure instability, overheating, or lubrication failure",Stop or isolate compressor if required and perform urgent technical inspection,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0031,GRB-001,Gearbox,Medium Risk,Inspect,60.13,Critical gearbox condition,"Severe abnormal pattern may indicate gear damage, lubrication failure, or unsafe torque transmission",Stop gearbox operation if necessary and perform urgent inspection,"anomaly detected, very low mechanical load, very high shaft speed, very low operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0032,GEN-007,Generator,Medium Risk,Inspect,60.31,Critical generator condition,"Severe abnormal pattern may indicate overheating, overload, bearing failure, or unsafe electrical operation",Isolate generator if safety risk exists and perform urgent electrical and mechanical inspection,"anomaly detected, very low generator load response, very high rotational speed instability",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0033,MOT-020,Motor,Medium Risk,Inspect,60.5,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0034,GEN-001,Generator,Medium Risk,Inspect,60.67,Critical generator condition,"Severe abnormal pattern may indicate overheating, overload, bearing failure, or unsafe electrical operation",Isolate generator if safety risk exists and perform urgent electrical and mechanical inspection,"anomaly detected, very low generator load response, very high rotational speed instability, very high generator cooling temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0035,CMP-015,Compressor,Medium Risk,Inspect,61.16,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0036,CHL-001,Chiller,Medium Risk,Inspect,61.2,High chiller performance risk,"Low health score may indicate cooling efficiency loss, overheating, or unstable compressor load","Schedule maintenance soon and check condenser, refrigerant level, and cooling flow","anomaly detected, low cooling-side temperature, low process cooling temperature, very low compressor load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0037,CMP-010,Compressor,Medium Risk,Inspect,61.34,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"anomaly detected, very high torque, very low rotational speed, low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0038,GEN-005,Generator,Medium Risk,Inspect,61.99,High generator operating stress,"Low health score may indicate overload, overheating, bearing stress, or unstable electrical output",Reduce generator load if possible and schedule maintenance soon,"anomaly detected, very low generator load response, very high rotational speed instability, very high generator cooling temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0039,SEP-001,Separator,Medium Risk,Inspect,62.17,High separator process risk,"Low health score may indicate unstable flow, internal restriction, or abnormal process load","Schedule inspection soon and verify separator pressure, flow, and outlet quality","anomaly detected, very low separator process load, very low separator process temperature, very low operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0040,CLT-001,Cooling Tower,Medium Risk,Inspect,62.18,High cooling tower performance risk,"Low health score may indicate cooling efficiency loss, airflow restriction, or scaling buildup","Schedule cleaning and inspect fan, fill media, and water distribution system","anomaly detected, low cooling tower air temperature, very high fan speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0041,VPM-001,Vacuum Pump,Medium Risk,Inspect,62.29,High vacuum pump operating risk,"Low health score may indicate vacuum loss, overheating, internal wear, or seal leakage",Schedule maintenance soon and check vacuum performance and sealing condition,"anomaly detected, very high vacuum pump load demand, very low pump operating temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0042,CNV-007,Conveyor,Medium Risk,Inspect,62.57,High conveyor drive stress,"Low health score may indicate belt misalignment, roller jam, or overload",Reduce conveyor load and schedule maintenance soon,"anomaly detected, very low conveyor drive load, very high conveyor speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0043,GEN-003,Generator,Medium Risk,Inspect,62.65,High generator operating stress,"Low health score may indicate overload, overheating, bearing stress, or unstable electrical output",Reduce generator load if possible and schedule maintenance soon,"anomaly detected, very low generator load response, very high rotational speed instability",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0044,MIX-005,Mixer,Medium Risk,Inspect,63.02,High mixer drive stress,"Low health score may indicate overload, blade resistance, or abnormal torque demand",Reduce mixer load if possible and schedule mechanical inspection soon,"anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0045,MOT-007,Motor,Medium Risk,Inspect,63.26,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, high tool wear, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0046,MIX-008,Mixer,Medium Risk,Inspect,63.33,High mixer drive stress,"Low health score may indicate overload, blade resistance, or abnormal torque demand",Reduce mixer load if possible and schedule mechanical inspection soon,"anomaly detected, very low mixing load demand, very high shaft speed variation, very high mechanical wear indicator",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0047,CNV-009,Conveyor,Medium Risk,Inspect,63.44,High conveyor drive stress,"Low health score may indicate belt misalignment, roller jam, or overload",Reduce conveyor load and schedule maintenance soon,"anomaly detected, very low conveyor drive load, very high conveyor speed variation, very high wear indicator",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0048,PMP-014,Pump,Medium Risk,Inspect,63.58,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0049,CFG-006,Centrifuge,Medium Risk,Inspect,64.1,High centrifuge mechanical stress,"Low health score may indicate rotor imbalance, high vibration risk, or bearing stress",Reduce load if possible and schedule centrifuge mechanical inspection soon,"anomaly detected, high centrifuge load demand, very high operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0050,SEP-002,Separator,Medium Risk,Inspect,64.3,High separator process risk,"Low health score may indicate unstable flow, internal restriction, or abnormal process load","Schedule inspection soon and verify separator pressure, flow, and outlet quality","anomaly detected, very low separator process load",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0051,MIX-006,Mixer,Medium Risk,Inspect,64.49,High mixer drive stress,"Low health score may indicate overload, blade resistance, or abnormal torque demand",Reduce mixer load if possible and schedule mechanical inspection soon,"anomaly detected, very low mixing load demand, high shaft speed variation, very high mechanical wear indicator",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0052,CNV-005,Conveyor,Medium Risk,Inspect,64.66,High conveyor drive stress,"Low health score may indicate belt misalignment, roller jam, or overload",Reduce conveyor load and schedule maintenance soon,"anomaly detected, low conveyor drive load, high conveyor speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0053,HYD-009,Hydraulic System,Medium Risk,Inspect,64.71,High hydraulic system risk,"Low health score may indicate pressure instability, overheating, or leakage",Plan maintenance soon and reduce hydraulic load if possible,"anomaly detected, low hydraulic load response, very high operating temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0054,MOT-016,Motor,Medium Risk,Inspect,65.18,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0055,GEN-002,Generator,Medium Risk,Inspect,65.23,High generator operating stress,"Low health score may indicate overload, overheating, bearing stress, or unstable electrical output",Reduce generator load if possible and schedule maintenance soon,"anomaly detected, very low generator load response, very high rotational speed instability",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0056,BLW-001,Blower,Medium Risk,Inspect,65.36,High-risk blower operating condition,"Low health score may indicate airflow restriction, overheating, or bearing stress",Plan maintenance soon and reduce blower load if possible,"anomaly detected, very low air temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0057,GEN-006,Generator,Low Risk,Observe,60.13,Critical generator condition,"Severe abnormal pattern may indicate overheating, overload, bearing failure, or unsafe electrical operation",Isolate generator if safety risk exists and perform urgent electrical and mechanical inspection,"anomaly detected, very low generator load response, very high rotational speed instability, low operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0058,HEX-008,Heat Exchanger,Low Risk,Observe,60.36,Critical heat exchanger condition,Severe abnormal pattern may indicate major blockage or thermal performance failure,Stop or bypass if required and perform urgent cleaning and flow inspection,"anomaly detected, very high air temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0059,HEX-004,Heat Exchanger,Low Risk,Observe,60.48,Critical heat exchanger condition,Severe abnormal pattern may indicate major blockage or thermal performance failure,Stop or bypass if required and perform urgent cleaning and flow inspection,"anomaly detected, high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0060,BLW-007,Blower,Low Risk,Observe,60.54,Critical blower condition,"Severe abnormal pattern may indicate major airflow blockage, bearing failure, or overheating","Stop blower if necessary and urgently inspect filter, bearings, and motor load","anomaly detected, very high rotational airflow speed, very low airflow load demand, high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0061,CNV-012,Conveyor,Low Risk,Observe,60.57,High conveyor drive stress,"Low health score may indicate belt misalignment, roller jam, or overload",Reduce conveyor load and schedule maintenance soon,"anomaly detected, very low conveyor drive load, very high conveyor speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0062,TRB-003,Turbine,Low Risk,Observe,60.77,Critical turbine condition,"Severe abnormal pattern may indicate unsafe speed instability, thermal stress, or blade damage",Stop or isolate turbine if safety risk exists and perform urgent inspection,"anomaly detected, very low torque, very high rotational speed, very low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0063,PMP-003,Pump,Low Risk,Observe,60.89,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, very low torque, very high rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0064,CLT-006,Cooling Tower,Low Risk,Observe,60.89,High cooling tower performance risk,"Low health score may indicate cooling efficiency loss, airflow restriction, or scaling buildup","Schedule cleaning and inspect fan, fill media, and water distribution system","anomaly detected, very high fan speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0065,HYD-002,Hydraulic System,Low Risk,Observe,61.15,Critical hydraulic system condition,"Severe abnormal pattern may indicate major leakage, pump failure, or unsafe pressure condition","Stop hydraulic operation if unsafe and urgently inspect hoses, seals, pressure, and pump","anomaly detected, very low hydraulic load response, very high operating temperature, very high process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0066,CNV-002,Conveyor,Low Risk,Observe,61.29,Critical conveyor condition,"Severe abnormal pattern may indicate belt jam, roller failure, or unsafe drive motor stress","Stop conveyor and inspect belt, rollers, drive motor, and blockage immediately","anomaly detected, very low conveyor drive load, very high conveyor speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0067,PMP-006,Pump,Low Risk,Observe,61.43,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, low torque, high rotational speed, very high air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0068,GEN-004,Generator,Low Risk,Observe,61.55,High generator operating stress,"Low health score may indicate overload, overheating, bearing stress, or unstable electrical output",Reduce generator load if possible and schedule maintenance soon,"anomaly detected, very high generator load demand, very low rotational speed instability, very low generator cooling temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0069,HYD-012,Hydraulic System,Low Risk,Observe,61.65,High hydraulic system risk,"Low health score may indicate pressure instability, overheating, or leakage",Plan maintenance soon and reduce hydraulic load if possible,"anomaly detected, very low operating temperature, very low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0070,FAN-011,Fan,Low Risk,Observe,61.78,Severe fan airflow imbalance or bearing stress,"Low health score may indicate high mechanical stress, bearing wear, or unstable rotation",Reduce fan operation load if possible and schedule maintenance soon,"anomaly detected, very high rotational airflow speed, very low airflow load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0071,MOT-022,Motor,Low Risk,Observe,61.87,High motor stress condition,"Low health score may indicate overload, insulation stress, or abnormal torque demand",Reduce motor load if possible and schedule maintenance soon,"anomaly detected, very low torque, very high rotational speed, low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0072,GEN-010,Generator,Low Risk,Observe,62.07,High generator operating stress,"Low health score may indicate overload, overheating, bearing stress, or unstable electrical output",Reduce generator load if possible and schedule maintenance soon,"anomaly detected, very low generator load response, very high rotational speed instability",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0073,HYD-007,Hydraulic System,Low Risk,Observe,62.38,High hydraulic system risk,"Low health score may indicate pressure instability, overheating, or leakage",Plan maintenance soon and reduce hydraulic load if possible,"anomaly detected, very low hydraulic load response, low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0074,TRB-001,Turbine,Low Risk,Observe,62.6,High turbine mechanical stress,"Low health score may indicate speed instability, thermal stress, or high mechanical load",Plan maintenance soon and verify safe operating limits,"anomaly detected, very low torque, very high tool wear, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0075,CMP-018,Compressor,Low Risk,Observe,62.7,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"anomaly detected, very low torque, very high rotational speed, low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0076,BLW-005,Blower,Low Risk,Observe,62.7,High-risk blower operating condition,"Low health score may indicate airflow restriction, overheating, or bearing stress",Plan maintenance soon and reduce blower load if possible,"anomaly detected, very high rotational airflow speed, very low airflow load demand, very low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0077,MIX-007,Mixer,Low Risk,Observe,62.85,Critical mixer condition,"Severe abnormal pattern may indicate jammed impeller, shaft failure, or unsafe motor load","Stop mixer if necessary and urgently inspect blades, shaft, coupling, and drive motor","anomaly detected, very low mixing load demand, very high shaft speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0078,CMP-012,Compressor,Low Risk,Observe,62.87,Critical compressor condition,"Severe abnormal pattern may indicate major pressure instability, overheating, or lubrication failure",Stop or isolate compressor if required and perform urgent technical inspection,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0079,PMP-019,Pump,Low Risk,Observe,63.04,High-risk pump operating condition,"Low health score may indicate cavitation, bearing wear, or unstable hydraulic load",Plan maintenance soon and reduce pump load if possible,"anomaly detected, very low torque, very high rotational speed, low air temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0080,CMP-007,Compressor,Low Risk,Observe,63.14,High compressor stress condition,"Low health score may indicate overheating, overpressure, or lubrication problem",Schedule maintenance soon and check whether the compressor can continue operation safely,"anomaly detected, very low torque, very high rotational speed",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0081,CLT-008,Cooling Tower,Low Risk,Observe,63.15,High cooling tower performance risk,"Low health score may indicate cooling efficiency loss, airflow restriction, or scaling buildup","Schedule cleaning and inspect fan, fill media, and water distribution system","anomaly detected, very low cooling tower air temperature, low cooling water temperature, low fan speed variation",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0082,BLW-008,Blower,Low Risk,Observe,63.43,High-risk blower operating condition,"Low health score may indicate airflow restriction, overheating, or bearing stress",Plan maintenance soon and reduce blower load if possible,"anomaly detected, very high rotational airflow speed, very low airflow load demand",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0083,HYD-003,Hydraulic System,Low Risk,Observe,63.43,High hydraulic system risk,"Low health score may indicate pressure instability, overheating, or leakage",Plan maintenance soon and reduce hydraulic load if possible,"anomaly detected, very low hydraulic load response, low operating temperature, low process temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
ALT-0084,GRB-013,Gearbox,Low Risk,Observe,63.61,High gearbox mechanical stress,"Low health score may indicate lubrication failure, gear wear, or abnormal torque transmission",Schedule maintenance soon and avoid high load operation,"anomaly detected, very low mechanical load, very high shaft speed, very low operating temperature",Active,Isolation Forest + Rule-Based Decision Support,2026-06-07 21:30:30
